image_id,flags,camera,filters,phase_deg,outcome,attribution,haze_dv_px,haze_du_px,haze_confidence,envelope_diameter_px,arc_residual_rms_px,fitted_haze_radius_km,ensemble_status,ensemble_status_reason
N1715855071_1,rings_occluding,NAC,RED+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,failed,all_techniques_spurious
W1526778201_1,clean,WAC,CL1+CL2,91.058,committed,,6.4526,-4.3923,0.756,466.689,1.316,2784.114,success,ok
W1532184947_1,clean,WAC,CL1+RED,118.909,committed,,6.5576,1.2278,0.72,544.569,1.525,2809.162,success,ok
W1532185013_1,clean,WAC,CL1+VIO,118.909,committed,,4.3987,-0.7525,0.708,545.558,1.603,2876.064,success,ok
W1548712675_1,clean,WAC,CL1+RED,104.455,committed,,2.4655,1.5451,0.778,557.828,1.186,2849.653,success,ok
W1548712789_1,clean,WAC,CL1+VIO,104.453,committed,,1.8221,0.3617,0.801,559.567,1.016,2917.097,success,ok
W1548771820_1,clean,WAC,CL1+VIO,,gated,reliability_0.000_below_threshold_0.300,,,,,,,failed,all_features_gated
W1552216540_1,clean,WAC,CL1+RED,60.562,committed,,0.4202,-7.1484,0.766,586.314,1.252,2867.878,success,ok
W1552216646_1,clean,WAC,CL1+VIO,60.557,committed,,-1.0661,-8.3565,0.783,584.432,1.107,2933.927,success,ok
W1561790952_1,high_phase,WAC,CL1+CL2,166.531,committed,,-3.7155,-0.8126,0.743,478.43,1.386,2941.16,success,ok
W1561794185_1,high_phase,WAC,CL1+RED,166.559,committed,,-0.538,-0.9698,0.762,522.782,1.164,2911.897,success,ok
W1604464865_1,clean,WAC,CL1+CL2,94.543,committed,,-0.214,-2.2836,0.856,248.359,0.545,2814.706,success,ok
W1604466257_1,clean,WAC,CL1+CL2,94.492,committed,,0.1699,-2.4282,0.856,239.596,0.558,2814.27,success,ok
W1604467653_1,clean,WAC,CL1+CL2,94.442,committed,,0.1209,-2.4368,0.862,231.416,0.493,2813.048,success,ok
